관리번호,기준연도,읍면동,읍면동코드,리,지목,경작연도,경작면적,실제면적
256,2022,진산면,45500380000,읍내리,전,2022,1327,2187.38
512,2022,제원면,45500330000,구억리,답,2020,2268,2268.72
768,2022,군북면,45500350000,천을리,답,2021,1591,1757.97
1024,2022,금성면,45500320000,상가리,답,2020,839,3730.83
1280,2022,금산읍,45500310000,아인리,대,2020,215,215.6
1536,2022,부리면,45500340000,수통리,임,2022,417,4071.47
1792,2022,금산읍,45500310000,음지리,답,2020,1403,1403.85
2048,2022,부리면,45500340000,창평리,답,2021,1211,1211.65
2304,2022,남일면,45500360000,신동리,답,2022,1338,1338.22
2560,2022,남이면,45500370000,상금리,답,2022,210,486.3
2816,2022,남이면,45500370000,대양리,전,2022,1422,1537.95
3072,2022,부리면,45500340000,현내리,구,2020,77,11647.19
3328,2022,금성면,45500320000,하류리,창,2022,1994,1994.7
3584,2022,금산읍,45500310000,양지리,구,2022,8,551.37
3840,2022,금산읍,45500310000,신대리,답,2022,1338,1338.75
4096,2022,부리면,45500340000,현내리,답,2020,2867,2867.82
4352,2022,금산읍,45500310000,음지리,답,2018,1800,1800.82
4608,2022,진산면,45500380000,행정리,답,2018,1046,1249.88
4864,2022,금성면,45500320000,하류리,답,2018,2963,2963.91
5120,2022,군북면,45500350000,내부리,답,2017,3675,3675.91
5376,2022,남일면,45500360000,덕천리,답,2018,323,323.63
5632,2022,제원면,45500330000,천내리,답,2018,3666,3903.82
5888,2022,남일면,45500360000,덕천리,구,2018,513,613.68
6144,2022,제원면,45500330000,명곡리,답,2020,463,463.05
6400,2022,금성면,45500320000,의총리,답,2018,2268,2268.18
6656,2022,제원면,45500330000,명암리,답,2020,2079,2079.52
6912,2022,금성면,45500320000,양전리,전,2020,637,1023.08
7168,2022,제원면,45500330000,천내리,전,2020,578,805.38
7424,2022,부리면,45500340000,방우리,답,2020,160,160.09
7680,2022,부리면,45500340000,예미리,전,2020,719,1343.65
7936,2022,군북면,45500350000,외부리,답,2020,849,1663.24
8192,2022,남이면,45500370000,하금리,답,2018,1484,1484.82
8448,2022,남이면,45500370000,매곡리,답,2020,1147,0.0
8704,2022,남일면,45500360000,신동리,답,2018,190,225.22
8960,2022,남일면,45500360000,신정리,답,2018,1624,2577.98
9216,2022,진산면,45500380000,읍내리,전,2020,261,4445.51
9472,2022,남이면,45500370000,상금리,천,2020,1169,158898.83
9728,2022,남이면,45500370000,구석리,임,2020,1012,96368.39
1,2022,추부면,45500400000,성당리,임,2022,137,259.31
257,2022,진산면,45500380000,읍내리,전,2022,133,700.69
513,2022,제원면,45500330000,대산리,답,2022,1049,1049.02
769,2022,군북면,45500350000,천을리,답,2021,801,801.55
1025,2022,금성면,45500320000,상가리,답,2020,363,533.96
1281,2022,부리면,45500340000,현내리,답,2022,2917,2917.54
1537,2022,부리면,45500340000,예미리,임,2022,1424,2358.89
1793,2022,남일면,45500360000,황풍리,답,2022,493,493.4
2049,2022,남일면,45500360000,덕천리,답,2022,684,684.03
2305,2022,제원면,45500330000,금성리,답,2020,778,778.46
2561,2022,남이면,45500370000,상금리,전,2022,136,198.58
2817,2022,남이면,45500370000,대양리,답,2022,667,694.67
3073,2022,부리면,45500340000,현내리,유,2020,1623,2415.56
3329,2022,금성면,45500320000,파초리,답,2022,1496,1496.83
3585,2022,금산읍,45500310000,양지리,답,2022,43,3093.88
3841,2022,금산읍,45500310000,신대리,답,2022,304,304.29
4097,2022,부리면,45500340000,현내리,도,2020,379,131350.82
4353,2022,금산읍,45500310000,음지리,답,2019,2197,2197.99
4609,2022,진산면,45500380000,막현리,전,2018,340,379.98
4865,2022,금성면,45500320000,하류리,답,2018,1183,1183.23
5121,2022,군북면,45500350000,내부리,답,2017,778,1887.07
5377,2022,남일면,45500360000,덕천리,답,2018,633,1424.97
5633,2022,추부면,45500400000,신평리,전,2018,2000,2376.92
5889,2022,남이면,45500370000,석동리,임,2018,270,25695.91
6145,2022,제원면,45500330000,구억리,답,2020,1184,1184.94
6401,2022,금성면,45500320000,의총리,답,2018,1436,1436.03
6657,2022,제원면,45500330000,명암리,답,2020,2013,2013.37
6913,2022,제원면,45500330000,천내리,답,2020,1636,1636.75
7169,2022,금산읍,45500310000,중도리,전,2020,313,416.76
7425,2022,부리면,45500340000,방우리,답,2020,1401,1401.65
7681,2022,부리면,45500340000,예미리,답,2020,2277,3044.99
7937,2022,군북면,45500350000,외부리,전,2020,3131,3631.82
8193,2022,남이면,45500370000,하금리,답,2018,1160,1160.49
8449,2022,남이면,45500370000,매곡리,답,2020,1785,0.0
8705,2022,남일면,45500360000,신동리,답,2018,917,917.72
8961,2022,남일면,45500360000,신정리,답,2020,3737,3737.76
9217,2022,진산면,45500380000,교촌리,임,2020,732,10387.85
9473,2022,남이면,45500370000,상금리,임,2020,114,273.97
9729,2022,남이면,45500370000,구석리,구,2020,173,1377.52
2,2022,추부면,45500400000,성당리,전,2022,851,1075.49
258,2022,진산면,45500380000,읍내리,답,2022,42,638.97
514,2022,제원면,45500330000,대산리,답,2022,1311,1779.69
770,2022,제원면,45500330000,저곡리,답,2022,1715,1715.26
1026,2022,부리면,45500340000,창평리,도,2022,311,5495.23
1282,2022,부리면,45500340000,현내리,도,2022,185,5081.11
1538,2022,부리면,45500340000,예미리,전,2022,1546,1546.7
1794,2022,금산읍,45500310000,음지리,답,2018,2075,2075.9
2050,2022,남일면,45500360000,덕천리,답,2022,736,736.95
2306,2022,남일면,45500360000,음대리,답,2022,431,431.5
2562,2022,제원면,45500330000,금성리,답,2021,587,587.35
2818,2022,남이면,45500370000,대양리,답,2022,2098,2193.09
3074,2022,부리면,45500340000,현내리,구,2020,280,11647.19
3330,2022,금성면,45500320000,하류리,답,2022,1943,1943.44
3586,2022,금산읍,45500310000,양지리,전,2022,275,1183.76
3842,2022,금산읍,45500310000,신대리,답,2022,1080,1080.24
4098,2022,부리면,45500340000,현내리,임,2020,265,532.35
4354,2022,금산읍,45500310000,음지리,답,2020,1868,1868.59
4610,2022,진산면,45500380000,지방리,답,2018,268,268.03
4866,2022,금성면,45500320000,의총리,전,2018,1086,1086.5
5122,2022,군북면,45500350000,내부리,답,2017,2288,2288.63
5378,2022,남일면,45500360000,덕천리,답,2018,1988,1988.05
5634,2022,추부면,45500400000,성당리,전,2018,1451,1846.05
5890,2022,부리면,45500340000,선원리,답,2018,2105,2105.69
6146,2022,제원면,45500330000,구억리,답,2020,865,865.16
6402,2022,금성면,45500320000,하신리,전,2019,3404,3404.25
6658,2022,제원면,45500330000,명암리,답,2020,2896,2896.38
6914,2022,제원면,45500330000,천내리,답,2020,1693,1693.68
7170,2022,제원면,45500330000,수당리,답,2020,2449,2449.68
7426,2022,부리면,45500340000,현내리,답,2020,152,152.21
7682,2022,부리면,45500340000,예미리,답,2019,1813,1813.96
7938,2022,부리면,45500340000,신촌리,답,2020,2578,2578.5
8194,2022,남이면,45500370000,하금리,답,2018,1744,2371.31
8450,2022,남이면,45500370000,매곡리,답,2020,1062,0.0
8706,2022,부리면,45500340000,어재리,답,2018,1181,1623.97
8962,2022,남일면,45500360000,신정리,전,2020,1212,1212.97
9218,2022,진산면,45500380000,삼가리,임,2020,487,2210.0
9474,2022,남이면,45500370000,상금리,전,2020,18,2727.67
9730,2022,남이면,45500370000,구석리,답,2020,207,4138.51
3,2022,추부면,45500400000,성당리,전,2022,1116,1306.58
259,2022,진산면,45500380000,읍내리,답,2022,2845,2889.68
515,2022,제원면,45500330000,대산리,전,2022,1701,1701.12
771,2022,제원면,45500330000,동곡리,전,2021,2625,2625.76
1027,2022,부리면,45500340000,창평리,답,2022,1944,1944.53
1283,2022,부리면,45500340000,현내리,도,2022,318,6008.79
1539,2022,군북면,45500350000,외부리,임,2020,1812,43907.2
1795,2022,남일면,45500360000,황풍리,답,2022,1788,1788.15
2051,2022,남일면,45500360000,덕천리,답,2022,1697,1697.26
2307,2022,남일면,45500360000,음대리,답,2022,632,632.82
2563,2022,제원면,45500330000,용화리,답,2020,1340,1340.65
2819,2022,남이면,45500370000,대양리,답,2022,2666,4748.13
3075,2022,부리면,45500340000,현내리,답,2020,1312,1347.74
3331,2022,금성면,45500320000,파초리,답,2022,1734,1734.32
3587,2022,금산읍,45500310000,양지리,답,2022,16,1419.6
3843,2022,금산읍,45500310000,신대리,답,2022,625,625.81
4099,2022,부리면,45500340000,현내리,구,2020,293,450.86
4355,2022,군북면,45500350000,두두리,전,2022,111,111.11
4611,2022,추부면,45500400000,추정리,전,2018,846,840.63
4867,2022,금성면,45500320000,의총리,답,2018,1544,2556.4
5123,2022,군북면,45500350000,외부리,전,2016,2506,2506.63
5379,2022,남일면,45500360000,덕천리,답,2017,3561,3561.54
5635,2022,추부면,45500400000,성당리,전,2018,753,1066.15
5891,2022,부리면,45500340000,선원리,답,2018,1288,1579.0
6147,2022,제원면,45500330000,구억리,답,2020,1430,1430.75
6403,2022,제원면,45500330000,제원리,답,2019,3185,3185.09
6659,2022,제원면,45500330000,수당리,전,2020,936,936.51
6915,2022,제원면,45500330000,천내리,답,2020,773,1035.43
7171,2022,제원면,45500330000,대산리,답,2020,874,874.77
7427,2022,부리면,45500340000,현내리,답,2017,186,276.49
7683,2022,부리면,45500340000,예미리,답,2018,2375,2375.45
7939,2022,추부면,45500400000,서대리,전,2020,4152,5515.22
8195,2022,남이면,45500370000,하금리,답,2018,855,855.38
8451,2022,남이면,45500370000,매곡리,답,2020,2206,0.0
8707,2022,부리면,45500340000,어재리,과,2019,3480,3326.12
8963,2022,남일면,45500360000,신정리,답,2020,915,915.11
9219,2022,진산면,45500380000,엄정리,구,2018,775,91928.77
9475,2022,금산읍,45500310000,양지리,천,2020,74,1044.27
9731,2022,남이면,45500370000,구석리,답,2020,165,2216.02
4,2022,추부면,45500400000,성당리,전,2022,1402,1658.81
260,2022,진산면,45500380000,석막리,답,2022,389,745.13
516,2022,제원면,45500330000,제원리,답,2022,959,1042.68
772,2022,제원면,45500330000,저곡리,답,2022,1638,1638.95
1028,2022,부리면,45500340000,창평리,답,2022,893,893.77
1284,2022,부리면,45500340000,양곡리,답,2022,1230,1230.71
1540,2022,부리면,45500340000,예미리,묘,2022,92,92.39
1796,2022,남일면,45500360000,마장리,답,2022,1564,1564.82
2052,2022,남일면,45500360000,음대리,답,2022,2677,2677.12
2308,2022,남일면,45500360000,음대리,답,2022,1330,1330.75
2564,2022,제원면,45500330000,용화리,답,2020,1978,1978.69
2820,2022,남이면,45500370000,하금리,답,2022,611,1604.98
3076,2022,부리면,45500340000,불이리,답,2018,793,793.04
3332,2022,금성면,45500320000,하류리,답,2022,1544,1643.72
3588,2022,금산읍,45500310000,양지리,전,2022,107,1386.9
3844,2022,금산읍,45500310000,신대리,구,2022,119,3469.89
4100,2022,군북면,45500350000,외부리,답,2022,537,685.87
4356,2022,금산읍,45500310000,음지리,답,2020,1373,1373.18
4612,2022,복수면,45500390000,백암리,답,2018,1511,1511.24
4868,2022,금성면,45500320000,의총리,전,2018,1309,1692.46
5124,2022,군북면,45500350000,외부리,답,2017,736,980.75
5380,2022,남일면,45500360000,덕천리,답,2018,1777,2462.96
5636,2022,추부면,45500400000,성당리,전,2018,409,787.22
5892,2022,남일면,45500360000,음대리,답,2018,4732,4732.62
6148,2022,제원면,45500330000,동곡리,답,2020,177,182.26
6404,2022,제원면,45500330000,제원리,과,2019,3665,3718.98
6660,2022,제원면,45500330000,수당리,전,2020,1605,2447.52
6916,2022,제원면,45500330000,천내리,전,2020,1287,1737.33
7172,2022,제원면,45500330000,구억리,천,2020,1372,1372.67
7428,2022,부리면,45500340000,현내리,답,2020,307,483.84
7684,2022,부리면,45500340000,예미리,답,2018,2390,2390.74
7940,2022,군북면,45500350000,외부리,답,2020,559,559.66
8196,2022,남이면,45500370000,하금리,답,2018,683,683.56
8452,2022,남이면,45500370000,매곡리,답,2020,2192,0.0
8708,2022,남이면,45500370000,역평리,답,2019,2368,2368.97
8964,2022,남일면,45500360000,신정리,천,2020,748,748.23
9220,2022,진산면,45500380000,엄정리,임,2020,298,38810.01
9476,2022,금산읍,45500310000,양지리,답,2020,119,271.46
9732,2022,남이면,45500370000,구석리,답,2020,21,768.08
5,2022,추부면,45500400000,신평리,전,2022,2934,3267.78
261,2022,진산면,45500380000,석막리,답,2022,1754,1824.43
517,2022,제원면,45500330000,제원리,답,2022,378,621.67
773,2022,제원면,45500330000,저곡리,답,2022,1310,1310.41
1029,2022,부리면,45500340000,평촌리,전,2022,1866,1866.33
1285,2022,부리면,45500340000,양곡리,답,2022,101,445.41
1541,2022,부리면,45500340000,예미리,전,2022,591,591.59
1797,2022,남일면,45500360000,황풍리,답,2022,2003,2003.63
2053,2022,부리면,45500340000,창평리,답,2021,1876,1876.47
2309,2022,제원면,45500330000,금성리,답,2020,1030,1030.76
2565,2022,제원면,45500330000,용화리,답,2020,2041,2041.04
2821,2022,남이면,45500370000,하금리,답,2022,62,3001.36
3077,2022,금성면,45500320000,상가리,답,2022,2062,2062.21
3333,2022,금성면,45500320000,하류리,답,2022,43,1890.42
3589,2022,금산읍,45500310000,양지리,구,2022,115,551.37
3845,2022,금산읍,45500310000,신대리,전,2022,105,3282.65
4101,2022,군북면,45500350000,외부리,답,2022,554,554.4
4357,2022,금산읍,45500310000,음지리,전,2020,736,736.78
4613,2022,복수면,45500390000,백암리,답,2018,1290,1290.19
4869,2022,금성면,45500320000,의총리,전,2018,3051,3051.11
5125,2022,군북면,45500350000,외부리,전,2017,909,909.64
5381,2022,남일면,45500360000,덕천리,답,2018,1698,1698.93
5637,2022,추부면,45500400000,성당리,전,2018,393,760.99
5893,2022,군북면,45500350000,동편리,답,2018,203,203.89
6149,2022,제원면,45500330000,동곡리,전,2020,1162,1162.64
6405,2022,제원면,45500330000,제원리,답,2018,753,753.17
6661,2022,제원면,45500330000,수당리,전,2020,157,157.15
6917,2022,부리면,45500340000,선원리,전,2020,909,1416.01
7173,2022,제원면,45500330000,대산리,천,2020,1582,1582.71
7429,2022,부리면,45500340000,현내리,답,2020,1800,2092.88
7685,2022,부리면,45500340000,예미리,답,2017,2443,2443.17
7941,2022,군북면,45500350000,외부리,전,2020,992,1942.05
8197,2022,남이면,45500370000,하금리,답,2018,732,732.38
8453,2022,남이면,45500370000,매곡리,답,2020,2732,0.0
8709,2022,남이면,45500370000,성곡리,답,2018,2710,2882.44
8965,2022,남일면,45500360000,신정리,답,2020,2330,2330.22
9221,2022,진산면,45500380000,엄정리,답,2020,283,2674.7
9477,2022,금산읍,45500310000,양지리,천,2020,469,4927.55
9733,2022,남이면,45500370000,구석리,답,2020,199,1331.46
6,2022,추부면,45500400000,성당리,전,2022,2092,2092.78
262,2022,진산면,45500380000,석막리,답,2022,798,798.78
518,2022,제원면,45500330000,제원리,답,2022,357,408.74
774,2022,제원면,45500330000,동곡리,임,2020,109,25945.33
1030,2022,금성면,45500320000,상가리,답,2020,1821,1821.69
1286,2022,금산읍,45500310000,아인리,임,2020,107,1647.05
1542,2022,군북면,45500350000,외부리,답,2020,1234,1234.36
1798,2022,남일면,45500360000,황풍리,잡,2022,2132,2132.87
2054,2022,남일면,45500360000,음대리,답,2022,2754,2754.14
2310,2022,남일면,45500360000,신정리,전,2022,2026,2026.03
2566,2022,제원면,45500330000,용화리,답,2021,1656,1656.23
2822,2022,남이면,45500370000,역평리,임,2022,256,256.11
3078,2022,부리면,45500340000,불이리,전,2018,1099,1099.63
3334,2022,금성면,45500320000,파초리,임,2022,2816,20850.14
3590,2022,금산읍,45500310000,양지리,전,2022,94,1837.2
3846,2022,금산읍,45500310000,신대리,답,2022,1984,2113.49
4102,2022,군북면,45500350000,외부리,답,2022,1840,1840.07
4358,2022,금산읍,45500310000,음지리,전,2020,737,737.24
4614,2022,복수면,45500390000,백암리,전,2018,553,1735.04
4870,2022,군북면,45500350000,내부리,답,2014,1633,1633.56
5126,2022,군북면,45500350000,외부리,전,2017,1615,1615.59
5382,2022,남일면,45500360000,덕천리,답,2018,1953,1953.93
5638,2022,추부면,45500400000,서대리,과,2018,3508,3508.73
5894,2022,군북면,45500350000,동편리,답,2018,133,133.78
6150,2022,제원면,45500330000,동곡리,답,2020,632,632.87
6406,2022,제원면,45500330000,명암리,답,2020,945,945.16
6662,2022,제원면,45500330000,수당리,답,2020,2447,2447.43
6918,2022,제원면,45500330000,천내리,답,2020,1625,1842.86
7174,2022,금성면,45500320000,도곡리,전,2020,274,533.61
7430,2022,부리면,45500340000,신촌리,답,2020,871,871.26
7686,2022,부리면,45500340000,수통리,전,2019,397,454.0
7942,2022,군북면,45500350000,외부리,답,2020,1203,1203.59
8198,2022,남이면,45500370000,하금리,답,2019,3165,3165.66
8454,2022,남이면,45500370000,매곡리,답,2020,3261,0.0
8710,2022,남이면,45500370000,대양리,답,2019,1462,1462.4
8966,2022,남일면,45500360000,신정리,천,2020,159,159.04
9222,2022,진산면,45500380000,엄정리,임,2020,475,4947.67
9478,2022,금산읍,45500310000,양지리,도,2020,97,790.66
9734,2022,남이면,45500370000,구석리,답,2020,13,499.77
7,2022,추부면,45500400000,마전리,답,2022,1095,1095.66
263,2022,진산면,45500380000,석막리,답,2022,380,732.18
519,2022,제원면,45500330000,명암리,답,2022,2085,2085.84
775,2022,제원면,45500330000,동곡리,임,2020,546,36064.15
1031,2022,부리면,45500340000,평촌리,구,2022,259,4559.14
1287,2022,금산읍,45500310000,아인리,전,2020,161,667.57
1543,2022,부리면,45500340000,예미리,전,2022,179,179.4
1799,2022,남일면,45500360000,황풍리,전,2022,813,813.95
2055,2022,부리면,45500340000,창평리,도,2020,22,22.97
2311,2022,남일면,45500360000,신정리,전,2022,2951,2951.89
2567,2022,제원면,45500330000,금성리,답,2021,1122,1122.18
2823,2022,남이면,45500370000,역평리,답,2022,7,2549.05
3079,2022,부리면,45500340000,불이리,임,2016,1236,125301.09
3335,2022,금성면,45500320000,파초리,임,2022,3060,20850.14
3591,2022,금산읍,45500310000,양지리,전,2022,1025,1837.2
3847,2022,금산읍,45500310000,신대리,전,2022,3108,4506.73
4103,2022,군북면,45500350000,내부리,답,2022,2618,2618.76
4359,2022,금산읍,45500310000,음지리,전,2017,3665,3665.48
4615,2022,복수면,45500390000,신대리,답,2018,115,607.89
4871,2022,금성면,45500320000,의총리,답,2017,1730,1730.66
5127,2022,군북면,45500350000,외부리,전,2017,452,452.17
5383,2022,남일면,45500360000,덕천리,답,2018,876,876.42
5639,2022,진산면,45500380000,읍내리,답,2017,1224,2207.47
5895,2022,군북면,45500350000,동편리,답,2018,618,618.62
6151,2022,제원면,45500330000,길곡리,전,2020,1265,1265.55
6407,2022,제원면,45500330000,명암리,답,2018,1064,1064.13
6663,2022,제원면,45500330000,수당리,답,2020,832,832.29
6919,2022,부리면,45500340000,창평리,답,2020,1486,1486.6
7175,2022,금산읍,45500310000,중도리,답,2020,2048,2416.54
7431,2022,군북면,45500350000,호티리,답,2020,384,695.86
7687,2022,부리면,45500340000,수통리,답,2018,1072,1072.41
7943,2022,군북면,45500350000,외부리,답,2020,1233,1233.26
8199,2022,남이면,45500370000,하금리,답,2018,2000,2192.93
8455,2022,남이면,45500370000,매곡리,답,2020,1553,1553.94
8711,2022,부리면,45500340000,어재리,전,2018,3215,3215.91
8967,2022,남일면,45500360000,신정리,답,2020,4410,4410.44
9223,2022,진산면,45500380000,엄정리,답,2020,124,2373.68
9479,2022,금산읍,45500310000,양지리,임,2020,132,511.13
9735,2022,남이면,45500370000,구석리,전,2020,587,1369.24
8,2022,추부면,45500400000,신평리,답,2022,2055,2055.1
264,2022,진산면,45500380000,석막리,답,2022,2144,2144.9
520,2022,제원면,45500330000,명암리,답,2022,824,824.81
776,2022,제원면,45500330000,동곡리,임,2016,1246,73937.22
1032,2022,부리면,45500340000,평촌리,임,2022,528,52556.87
1288,2022,부리면,45500340000,양곡리,천,2022,157,58710.66
1544,2022,군북면,45500350000,외부리,답,2020,606,606.59
1800,2022,남일면,45500360000,황풍리,도,2022,230,230.95
2056,2022,부리면,45500340000,창평리,구,2020,377,8588.48
2312,2022,남일면,45500360000,신정리,답,2022,329,329.97
2568,2022,남이면,45500370000,상금리,전,2022,237,372.74
2824,2022,남이면,45500370000,역평리,천,2022,64,18281.87
